Date,RGDP,HICP,M1,M3,LNFC,LHH,LNFPS,LRNFCSPR,LRHHSPR,LRNFPSSPR,CRSPR,YC3M,YC1Y,YC2Y,YC3Y,YC2YW,YCEONIA,EATEDSPR,STP,USDEUROXRATE,NEER,VSTOXX,FCIBME,FCIVAR,FCIIPA,FCIBBG,FCIGS,CISS,CISSnew,OILPUSD,GAPPEURUSD,RAWMATPUSD,IP,UR,EMPL,RETTRADE,EUROCOIN,ESI,INDCONF,CSTRCONF,STOASSESS,BCI,CONCONF,RETCONF,SERVCONF,PMIMAN,PMICOMP
Sep-95,657319,70.8,62.1,72.9,1828079.3,1958763.4,3786842.7,1.3,2.4,1.8,-0.1,1.9,1.8,1.8,1.5,,,2.3,135.2,1.3,94.7,,,,,,,0.049,0.022,16.82,2.78,71.249,83.503,10.937,124573.903,84.765,,100.8,-6.777,-31.023,11.156,-0.084,-9.482,-6.995,17.979,,
Oct-95,653825,70.9,62.1,73.1,1834712.9,1969001.4,3803714.3,0.9,2,1.5,-0.1,1.7,1.7,2.1,1.8,,,2.7,130.6,1.3,96.2,,,,,,,0.047,0.026,16.123,2.75,71.882,82.365,10.962,124641.812,83.093,,99.1,-7.29,-32.647,11.645,-0.196,-10.379,-21.21,17.369,,
Nov-95,656074,71.1,62.4,73.5,1841942.6,1977087.5,3819030.1,1.1,2.1,1.6,-0.4,1.7,1.7,2.1,1.8,,,2.4,132.9,1.3,96.8,,,,,,,0.04,0.006,16.743,2.75,72.598,82.775,10.98,124677.016,84.462,,96.4,-8.771,-33.016,12.621,-0.307,-10.589,-23.881,12.304,,
Dec-95,661531,71.2,63.8,74.2,1849349.2,1984581.8,3833931,1.2,2,1.6,-0.3,1.5,1.6,2.1,1.9,,,2.4,136.4,1.3,96.4,,,,,,,0.048,0.011,17.867,2.73,73.202,83.693,10.966,124693.244,84.552,,95.1,-10.28,-35.382,13.975,-0.484,-11.774,-23.052,12.578,,
Jan-96,657717,71.4,63.5,74.5,1855557.1,1997797.5,3853354.6,1.4,2.3,1.9,-0.2,1.6,1.8,2.1,1.9,,,2.2,142.5,1.3,96.4,,,,,,,0.065,0.008,17.8,2.75,72.561,82.637,10.941,124757.421,84.016,,95,-12.503,-36.908,14.742,-0.656,-12.495,-19.461,16.192,,
Feb-96,657903,71.5,63.5,74.8,1859551.2,2012122.8,3871674,1.6,2.5,2.1,-0.5,2.1,2.1,2.2,1.8,,,2.2,145.7,1.3,96.4,,,,,,,0.031,0.007,17.697,2.77,72.774,82.429,10.936,124719.444,84.147,,92.4,-14.718,-38.263,16.821,-0.887,-13.055,-17.331,12.465,,
Mar-96,659939,71.7,63.7,75,1860706.1,2022280.2,3882986.3,1.5,2.7,2.1,-0.2,2.3,2.3,2.3,1.9,,,2.1,146.1,1.3,96.4,,,,,,,0.024,0.006,19.4,2.67,73.296,82.541,10.935,124699.195,83.923,,92.1,-15.483,-38.344,17.441,-1.034,-12.296,-14.008,10.971,,
Apr-96,659097,71.8,64.3,75.3,1863464.6,2032838,3896302.7,1.6,2.8,2.2,-0.2,2.4,2.3,2.6,2.2,,,1.9,150.5,1.2,95.8,,,,,,,0.028,0.007,20.66,3.1,74.249,81.798,11.018,124747.32,84.325,,91.9,-15.433,-38.597,17.673,-1.075,-12.976,-12.336,11.106,,
May-96,664581,72,64.7,75.4,1868892.7,2043135.6,3912028.3,1.7,2.9,2.3,-0.4,2.4,2.4,2.4,2,,,1.8,152.7,1.2,95.2,,,,,,,0.033,0.007,19.063,2.81,74.917,82.722,11.048,124802.234,83.748,,91.6,-15.683,-37.546,17.829,-1.046,-12.295,-16.147,11.081,,
Jun-96,665604,72,64.8,75.6,1868110.2,2047612.1,3915722.3,1.6,2.9,2.3,-0.3,2.4,2.3,2.3,1.9,,,1.7,152.9,1.3,95.8,,,,,,,0.05,0.01,18.513,2.81,74.375,82.653,11.087,124870.188,84.397,,92.2,-15.473,-37.392,17.477,-1.118,-12.206,-12.722,10.788,,
Jul-96,663009,72,65.2,75.9,1868817.1,2058905.1,3927722.1,1.6,2.9,2.3,-0.4,2.3,2.2,2.2,1.9,,,1.7,148.6,1.3,97,,,,,,,0.083,0.023,19.587,2.78,73.419,81.931,11.049,124938.492,83.823,,92.4,-14.772,-38.689,16.925,-1.003,-13.041,-13.625,11.648,,
